model,test_ap,pos_precision,pos_recall,pos_f1,threshold
Transfer CNN,0.8254234522408173,0.7362637362637363,0.7790697674418605,0.7570621468926554,0.3590312898159027
Custom CNN,0.5881852264219812,0.30120481927710846,0.5813953488372093,0.3968253968253968,0.3761717677116394
